Time [hr];Shelf Temperature [C];Product Temperature [C]
7.74;-390.20000000000334;14.784286197807091
7.75;-390.80000000000337;14.783656767787306
7.76;-391.4000000000034;14.783026406910608
7.7700000000000005;-392.0000000000034;14.782395115176996
7.78;-392.60000000000343;14.781762892586471
7.79;-393.20000000000346;14.781129739139033
7.8;-393.8000000000035;14.780495654776473
7.8100000000000005;-394.4000000000035;14.779860639673416
7.82;-395.0000000000035;14.779224693655237
7.83;-395.60000000000355;14.778587816780146
7.84;-396.20000000000357;14.777950009106348
7.8500000000000005;-396.8000000000036;14.777311270575638
7.86;-397.4000000000036;14.776671601188013
7.87;-398.00000000000364;14.776031000943476
7.88;-398.60000000000366;14.775389469900233
7.890000000000001;-399.2000000000037;14.774747008000077
7.9;-399.8000000000037;14.774103615301215
7.91;-400.40000000000373;14.773459291687232
7.92;-401.00000000000375;14.772814037274543
7.930000000000001;-401.6000000000038;14.772167852063149
7.94;-402.2000000000038;14.771520735936633
7.95;-402.8000000000038;14.77087268906962
7.96;-403.40000000000384;14.770223711345693
7.97;-404.00000000000387;14.769573802764853
7.98;-404.6000000000039;14.768922963385307
7.99;-405.2000000000039;14.768271193207056
8.0;-405.80000000000393;14.767618492171891
8.01;-406.40000000000396;14.766964860279813
8.02;-407.000000000004;14.766310297647237
8.03;-407.600000000004;14.765654804157748
8.040000000000001;-408.200000000004;14.764998379869553
8.05;-408.80000000000405;14.764341024724445
8.06;-409.40000000000407;14.76368273878063
8.07;-410.0000000000041;14.763023522096319
8.08;-410.6000000000041;14.762363374496886
8.09;-411.20000000000414;14.761702296098747
8.1;-411.80000000000416;14.76104028696011
8.11;-412.4000000000042;14.76037734696456
8.120000000000001;-413.0000000000042;14.759713476170305
8.13;-413.60000000000423;14.759048674577343
8.14;-414.20000000000425;14.758382942185676
8.15;-414.8000000000043;14.757716278995304
8.16;-415.4000000000043;14.757048685006225
8.17;-416.0000000000043;14.756380160218441
8.18;-416.60000000000434;14.755710704631952
8.19;-417.20000000000437;14.755040318246756
8.2;-417.8000000000044;14.754369001062855
8.21;-418.4000000000044;14.753696753080249
8.22;-419.00000000000443;14.753023574357144
8.23;-419.60000000000446;14.752349464777126
8.24;-420.2000000000045;14.751674424398402
8.25;-420.8000000000045;14.75099845327918
8.26;-421.4000000000045;14.75032155141946
8.27;-422.00000000000455;14.749643718702828
8.28;-422.60000000000457;14.748964955245697
8.290000000000001;-423.2000000000046;14.74828526098986
8.3;-423.8000000000046;14.747604635935318
8.31;-424.40000000000464;14.746923080140277
8.32;-425.00000000000466;14.746240593546531
8.33;-425.6000000000047;14.74555717615408
8.34;-426.2000000000047;14.74487282802113
8.35;-426.80000000000473;14.744187549147682
8.36;-427.40000000000475;14.743501339475529
8.370000000000001;-428.0000000000048;14.74281419900467
8.38;-428.6000000000048;14.742126127793313
8.39;-429.2000000000048;14.74143712578325
8.4;-429.80000000000484;14.74074719303269
8.41;-430.40000000000487;14.74005632954163
8.42;-431.0000000000049;14.739364535310074
8.43;-431.6000000000049;14.738671810279811
8.44;-432.20000000000493;14.737978154450843
8.45;-432.80000000000496;14.737283567881377
8.46;-433.400000000005;14.736588050571413
8.47;-434.000000000005;14.735891602579159
8.48;-434.600000000005;14.73519422372999
8.49;-435.20000000000505;14.734495914140325
8.5;-435.80000000000507;14.733796673810161
8.51;-436.4000000000051;14.7330965027395
8.52;-437.0000000000051;14.73239540092834
8.53;-437.60000000000514;14.731693368376682
8.540000000000001;-438.20000000000516;14.730990405084526
8.55;-438.8000000000052;14.730286511051872
8.56;-439.4000000000052;14.729581686220513
8.57;-440.00000000000523;14.72887593076507
8.58;-440.60000000000525;14.728169244510923
8.59;-441.2000000000053;14.72746162745807
8.6;-441.8000000000053;14.726753079722926
8.61;-442.4000000000053;14.726043601247284
8.620000000000001;-443.00000000000534;14.725333192031144
8.63;-443.60000000000537;14.724621852132714
8.64;-444.2000000000054;14.723909581435578
8.65;-444.8000000000054;14.723196379997944
8.66;-445.40000000000543;14.722482247936227
8.67;-446.00000000000546;14.721767185017598
8.68;-446.6000000000055;14.721051191474885
8.69;-447.2000000000055;14.720334267191674
8.700000000000001;-447.8000000000055;14.719616412167966
8.71;-448.40000000000555;14.71889762640376
8.72;-449.00000000000557;14.718177909957262
8.73;-449.6000000000056;14.717457262828475
8.74;-450.2000000000056;14.716735684900982
8.75;-450.80000000000564;14.716013176291199
8.76;-451.40000000000566;14.715289736999125
8.77;-452.0000000000057;14.714565366908346
8.78;-452.6000000000057;14.713840066193484
8.790000000000001;-453.20000000000573;14.713113834796332
8.8;-453.80000000000575;14.712386672600474
8.81;-454.4000000000058;14.711658579780533
8.82;-455.0000000000058;14.710929556161886
8.83;-455.6000000000058;14.710199601919157
8.84;-456.20000000000584;14.70946871693593
8.85;-456.80000000000587;14.708736901270413
8.86;-457.4000000000059;14.708004154922605
8.870000000000001;-458.0000000000059;14.7072704778343
8.88;-458.60000000000593;14.706535870121911
8.89;-459.20000000000596;14.705800331669025
8.9;-459.800000000006;14.705063862533848
8.91;-460.400000000006;14.704326462658173
8.92;-461.000000000006;14.703588132158416
8.93;-461.60000000000605;14.70284887091816
8.94;-462.20000000000607;14.702108679053822
8.950000000000001;-462.8000000000061;14.701367556448986
8.96;-463.4000000000061;14.70062550316186
8.97;-464.00000000000614;14.69988251925065
8.98;-464.60000000000616;14.699138604598943
8.99;-465.2000000000062;14.698393759264945
9.0;-465.8000000000062;14.697647983306865
9.01;-466.40000000000623;14.696901276666495
9.02;-467.00000000000625;14.696153639285626
9.03;-467.6000000000063;14.695405071280675
9.040000000000001;-468.2000000000063;14.694655572593433
9.05;-468.8000000000063;14.693905143223901
9.06;-469.40000000000634;14.693153783230287
9.07;-470.00000000000637;14.692401492496174
9.08;-470.6000000000064;14.691648271196186
9.09;-471.2000000000064;14.6908941191557
9.1;-471.80000000000643;14.690139036432925
9.11;-472.40000000000646;14.689383023086066
9.120000000000001;-473.0000000000065;14.688626079056917
9.13;-473.6000000000065;14.687868204403685
9.14;-474.2000000000065;14.687109399068163
9.15;-474.80000000000655;14.68634966305035
9.16;-475.40000000000657;14.685588996408455
9.17;-476.0000000000066;14.684827399142478
9.18;-476.6000000000066;14.68406487119421
9.19;-477.20000000000664;14.683301412563651
9.200000000000001;-477.80000000000666;14.68253702330901
9.21;-478.4000000000067;14.681771703430286
9.22;-479.0000000000067;14.68100545292748
9.23;-479.60000000000673;14.680238271742382
9.24;-480.20000000000675;14.679470159874995
9.25;-480.8000000000068;14.678701117383525
9.26;-481.4000000000068;14.67793114432618
9.27;-482.0000000000068;14.677160240586545
9.28;-482.60000000000684;14.67638840616462
9.290000000000001;-483.20000000000687;14.675615641118611
9.3;-483.8000000000069;14.674841945506728
9.31;-484.4000000000069;14.674067319212554
9.32;-485.00000000000693;14.673291762294298
9.33;-485.60000000000696;14.672515274693751
9.34;-486.200000000007;14.67173785652733
9.35;-486.800000000007;14.670959507736825
9.36;-487.400000000007;14.67018022826403
9.370000000000001;-488.00000000000705;14.66940001822536
9.38;-488.60000000000707;14.668618877562608
9.39;-489.2000000000071;14.667836806275773
9.4;-489.8000000000071;14.667053804306647
9.41;-490.40000000000714;14.666269871771647
9.42;-491.00000000000716;14.665485008612563
9.43;-491.6000000000072;14.664699214829398
9.44;-492.2000000000072;14.663912490422149
9.450000000000001;-492.80000000000723;14.663124835390818
9.46;-493.40000000000725;14.662336249851819
9.47;-494.0000000000073;14.661546733572322
9.48;-494.6000000000073;14.660756286785158
9.49;-495.2000000000073;14.659964909315704
9.5;-495.80000000000734;14.659172601222167
9.51;-496.40000000000737;14.658379362562755
9.52;-497.0000000000074;14.657585193337468
9.53;-497.6000000000074;14.656790093488098
9.540000000000001;-498.20000000000744;14.655994063014646
9.55;-498.80000000000746;14.655197101975318
9.56;-499.4000000000075;14.654399210311908
9.57;-500.0000000000075;14.653600388082623
9.58;-500.6000000000075;14.652800635229255
9.59;-501.20000000000755;14.651999951810012
9.6;-501.80000000000757;14.651198337766687
9.61;-502.4000000000076;14.650395793157486
9.620000000000001;-503.0000000000076;14.649592317924203
9.63;-503.60000000000764;14.648787912183252
9.64;-504.20000000000766;14.647982575760011
9.65;-504.8000000000077;14.647176308829103
9.66;-505.4000000000077;14.646369111215904
9.67;-506.00000000000773;14.645560983095038
9.68;-506.60000000000775;14.644751924408297
9.69;-507.2000000000078;14.64394193515568
9.700000000000001;-507.8000000000078;14.643131015278982
9.71;-508.4000000000078;14.642319164836408
9.72;-509.00000000000784;14.64150638382796
9.73;-509.60000000000787;14.640692672253635
9.74;-510.2000000000079;14.639878030055229
9.75;-510.8000000000079;14.639062457349155
9.76;-511.40000000000794;14.638245954077206
9.77;-512.000000000008;14.637428520239382
9.78;-512.600000000008;14.636610155777475
9.790000000000001;-513.200000000008;14.635790860807901
9.8;-513.800000000008;14.634970635272452
9.81;-514.400000000008;14.634149479171128
9.82;-515.0000000000081;14.633327392445722
9.83;-515.6000000000081;14.632504375270855
9.84;-516.2000000000081;14.631680427471906
9.85;-516.8000000000081;14.630855549107082
9.86;-517.4000000000082;14.630029740176383
9.870000000000001;-518.0000000000082;14.629203000796224
9.88;-518.6000000000082;14.628375330733775
9.89;-519.2000000000082;14.627546730221866
9.9;-519.8000000000083;14.626717199144082
9.91;-520.4000000000083;14.625886737442215
9.92;-521.0000000000083;14.625055345290889
9.93;-521.6000000000083;14.624223022573688
9.94;-522.2000000000083;14.623389769290611
9.950000000000001;-522.8000000000084;14.622555585499867
9.96;-523.4000000000084;14.621720471143249
9.97;-524.0000000000084;14.620884426220755
9.98;-524.6000000000084;14.620047450790594
9.99;-525.2000000000085;14.619209544852765
10.0;-525.8000000000085;14.618370708349062
10.01;-526.4000000000085;14.61753094133769
10.02;-527.0000000000085;14.616690243760445
10.03;-527.6000000000085;14.615848615675532
10.040000000000001;-528.2000000000086;14.615006057024743
10.05;-528.8000000000086;14.614162567924495
10.06;-529.4000000000086;14.613318148258372
10.07;-530.0000000000086;14.612472798084582
10.08;-530.6000000000087;14.611626517344916
10.09;-531.2000000000087;14.610779306097584
10.1;-531.8000000000087;14.609931164342584
10.11;-532.4000000000087;14.609082092079916
10.120000000000001;-533.0000000000088;14.608232089309581
10.13;-533.6000000000088;14.607381156031579
10.14;-534.2000000000088;14.606529292187702
10.15;-534.8000000000088;14.605676497894365
10.16;-535.4000000000088;14.604822773035153
10.17;-536.0000000000089;14.603968117726481
10.18;-536.6000000000089;14.603112531793727
10.19;-537.2000000000089;14.60225601546972
10.200000000000001;-537.8000000000089;14.601398568638047
10.21;-538.400000000009;14.600540191240498
10.22;-539.000000000009;14.59968088339349
10.23;-539.600000000009;14.598820644980606
10.24;-540.200000000009;14.597959476118263
10.25;-540.800000000009;14.59709737680646
10.26;-541.4000000000091;14.596234346928782
10.27;-542.0000000000091;14.595370386543436
10.28;-542.6000000000091;14.594505495708631
10.290000000000001;-543.2000000000091;14.593639674424367
10.3;-543.8000000000092;14.592772922574227
10.31;-544.4000000000092;14.59190524021642
10.32;-545.0000000000092;14.591036627409153
10.33;-545.6000000000092;14.590167084152426
10.34;-546.2000000000093;14.589296610388033
10.35;-546.8000000000093;14.588425206115971
10.36;-547.4000000000093;14.587552871336243
10.370000000000001;-548.0000000000093;14.586679606107054
10.38;-548.6000000000093;14.585805410428407
10.39;-549.2000000000094;14.584930284242091
10.4;-549.8000000000094;14.584054227606316
10.41;-550.4000000000094;14.583177240521081
10.42;-551.0000000000094;14.582299322869972
10.43;-551.6000000000095;14.58142047482761
10.44;-552.2000000000095;14.58054069627758
10.450000000000001;-552.8000000000095;14.579659987278092
10.46;-553.4000000000095;14.578778347770935
10.47;-554.0000000000095;14.57789577781432
10.48;-554.6000000000096;14.577012277466451
10.49;-555.2000000000096;14.576127846610916
10.5;-555.8000000000096;14.575242485247713
10.51;-556.4000000000096;14.574356193435051
10.52;-557.0000000000097;14.573468971172929
10.53;-557.6000000000097;14.572580818519555
10.540000000000001;-558.2000000000097;14.571691735358513
10.55;-558.8000000000097;14.570801721689804
10.56;-559.4000000000098;14.569910777629843
10.57;-560.0000000000098;14.569018903120423
10.58;-560.6000000000098;14.568126098161542
10.59;-561.2000000000098;14.567232362753202
10.6;-561.8000000000098;14.566337696895403
10.61;-562.4000000000099;14.565442100588143
10.620000000000001;-563.0000000000099;14.564545573831424
10.63;-563.6000000000099;14.563648116625245
10.64;-564.2000000000099;14.562749729027814
10.65;-564.80000000001;14.561850410922716
10.66;-565.40000000001;14.560950162426366
10.67;-566.00000000001;14.560048983480556
10.68;-566.60000000001;14.559146874085286
10.69;-567.20000000001;14.558243834298764
10.700000000000001;-567.8000000000101;14.557339864004575
10.71;-568.4000000000101;14.556434963319134
10.72;-569.0000000000101;14.555529132242441
10.73;-569.6000000000101;14.55462237065808
10.74;-570.2000000000102;14.553714678740675
10.75;-570.8000000000102;14.552806056315603
10.76;-571.4000000000102;14.551896503499279
10.77;-572.0000000000102;14.550986020233495
10.78;-572.6000000000103;14.550074606634666
10.790000000000001;-573.2000000000103;14.54916226252817
10.8;-573.8000000000103;14.548248988030423
10.81;-574.4000000000103;14.547334783141423
10.82;-575.0000000000103;14.546419647802963
10.83;-575.6000000000104;14.545503582073252
10.84;-576.2000000000104;14.54458658589408
10.85;-576.8000000000104;14.543668659323657
10.86;-577.4000000000104;14.542749802361982
10.870000000000001;-578.0000000000105;14.541830015009054
10.88;-578.6000000000105;14.540909297206667
10.89;-579.2000000000105;14.539987649013028
10.9;-579.8000000000105;14.539065070428137
10.91;-580.4000000000106;14.538141561393786
10.92;-581.0000000000106;14.53721712202639
