Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
0.5700000000000001;-11.412638237466012;-6.447064743089207;119.99999999999996;150.0;3.2525610875313604;30.88062519206842
0.58;-11.295889702488012;-6.371222318577593;120.0;150.0;3.25061021489346;31.408885975595062
0.59;-11.180375095956725;-6.296502162644554;120.0;150.0;3.248688210043956;31.936829910496723
0.6;-11.066066706550682;-6.222878925701275;120.0;150.0;3.246794420922738;32.464461685300414
0.61;-10.952937767982602;-6.150328125816599;120.0;150.0;3.2449282177882197;32.991785882629586
0.62;-10.840962436596957;-6.07882613586299;120.0;150.0;3.243088992886665;33.518806982828984
0.63;-10.730115637939068;-6.008350033308163;120.0;150.0;3.241276156588438;34.04552936753575
0.64;-10.62037917901764;-5.938883492236912;119.99999999999963;150.0;3.2394892889467544;34.57195732262304
0.65;-10.511718914778685;-5.870394783649177;120.0;150.0;3.2377275738058193;35.098095065758876
0.66;-10.404117064643637;-5.802867913433429;120.0;150.0;3.235990599753696;35.6239466820563
0.67;-10.297551663751294;-5.736282826328062;120.0;150.0;3.234277850914734;36.149516189809404
0.68;-10.192001429643087;-5.670620095405713;119.99999999999997;150.0;3.2325888275757135;36.67480752352694
0.6900000000000001;-10.087445734444403;-5.605860896369752;120.0;150.0;3.23092304552478;37.19982453655734
0.7000000000000001;-9.983864577975265;-5.541986982682304;119.99999999999991;150.0;3.229280035411479;37.724571003606364
0.71;-9.881238562436428;-5.478980662166396;119.99999999999977;150.0;3.227659342145128;38.24905062315078
0.72;-9.779548868346465;-5.41682477477453;120.0;150.0;3.2260605243228144;38.77326701975435
0.73;-9.678777231634026;-5.355502671414385;119.99999999999945;150.0;3.2244831536847345;39.29722374629092
0.74;-9.578905921896055;-5.294998193858018;119.99999999999915;150.0;3.2229268145975287;39.82092428607902
0.75;-9.479917721594376;-5.235295655525491;119.9999999999997;150.0;3.2213911035598697;40.34437205493262
0.76;-9.381795906582722;-5.1763798235017315;120.0;150.0;3.2198756287399166;40.86757040313148
0.77;-9.284520132940164;-5.118231938564028;120.0;150.0;3.218379907599554;41.39052261731648
