Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
2.69233845623609;-20.61512156836487;-19.25960731919046;20.0;150.0;1.0098634660883963;39.228875114384806
2.7596469176419927;-20.46681126281778;-19.13990650732168;20.0;150.0;1.0067844369023842;40.329578437000634
2.8269553790478947;-20.32143041419619;-19.022822005582356;20.0;150.0;1.0037727063012503;41.426836974257284
2.894263840453797;-20.178860491993635;-18.908246410845123;20.0;150.0;1.0008255115855758;42.5207429847534
2.9615723018596993;-20.038989541700452;-18.79607838140664;20.0;150.0;0.9979402459721853;43.61138872708762
3.0288807632656014;-19.90171170002664;-18.68622218833639;20.0;150.0;0.9951144470536417;44.698866459858586
3.096189224671504;-19.766926754224276;-18.578587307734992;20.0;150.0;0.9923457863099815;45.78326844166495
3.163497686077406;-19.634539740770375;-18.473088049498728;20.0;150.0;0.9896320595595804;46.86468693110532
3.2308061474833085;-19.504460579257135;-18.369643218732435;20.0;150.0;0.9869711782497582;47.943214186778356
3.2981146088892106;-19.376603737839268;-18.268175806420224;20.0;150.0;0.9843611614999884;49.0189424672827
3.3654230702951127;-19.250887927023257;-18.16861270636817;20.0;150.0;0.9818001288208875;50.091964031216975
3.432731531701015;-19.1272358189596;-18.070884455782927;20.0;150.0;0.979286293441222;51.16237113717984
3.5000399931069173;-19.00557378972666;-17.97492499715478;20.0;150.0;0.9768179561828719;52.23025604376993
3.56734845451282;-18.885831682378615;-17.880671459377414;20.0;150.0;0.9743934998306413;53.29571100958588
3.634656915918722;-18.767942588778162;-17.788063956267305;20.0;150.0;0.9720113839496524;54.358828293226324
3.701965377324624;-18.651842648452757;-17.697045400848587;20.0;150.0;0.9696701401082095;55.41970015328991
3.7692738387305265;-18.537470862901262;-17.607561333943536;20.0;150.0;0.9673683674687185;56.47841884837528
3.8365823001364285;-18.424892298241044;-17.519656004579062;20.0;150.0;0.9651072042360357;57.53391259163651
3.903890761542331;-18.314278835442234;-17.433456407758726;20.0;150.0;0.962889917065725;58.58405509578135
3.971199222948233;-18.205276345889825;-17.34867978473676;20.0;150.0;0.9607092326367627;59.63172318857537
4.038507684354135;-18.09783458088249;-17.265281193269026;20.0;150.0;0.9585639949128659;60.67698317669308
4.105816145760038;-17.991905379137616;-17.183217606015944;20.0;150.0;0.9564530971142838;61.71990136680902
4.17312460716594;-17.887442550640785;-17.102447803435986;20.0;150.0;0.9543754789627446;62.7605440655977
4.240433068571842;-17.78440176851574;-17.022932274098025;20.0;150.0;0.9523301241171832;63.79897757973366
4.307741529977744;-17.68274046825847;-16.944633121804106;20.0;150.0;0.9503160577847259;64.83526821589145
4.375049991383647;-17.58241775374117;-16.867513978972024;20.0;150.0;0.9483323444926143;65.86948228074556
4.4423584527895486;-17.48339430944623;-16.791539925777386;20.0;150.0;0.9463780860083628;66.90168608097055
4.509666914195451;-17.385632318441157;-16.716677414602078;20.0;150.0;0.944452419396339;67.93194592324092
4.576975375601354;-17.289095385648654;-16.642894199376155;20.0;150.0;0.942554515200268;68.96032811423125
4.644283837007256;-17.193748466006696;-16.57015926943797;20.0;150.0;0.940683575741914;69.98689896061602
4.711592298413158;-17.099557797149103;-16.498442787570283;20.0;150.0;0.938838833527204;71.01172476906976
4.77890075981906;-17.006490836268497;-16.427716031899312;20.0;150.0;0.9370195497517334;72.03487184626702
4.846209221224963;-16.914516200854365;-16.357951341372292;20.0;150.0;0.9352250128982857;73.05640649888235
4.913517682630864;-16.823603613023394;-16.289122064551716;20.0;150.0;0.933454537419678;74.07639503359022
4.980826144036767;-16.73372384718385;-16.22120251148725;20.0;150.0;0.9317074625007917;75.09490375706521
5.0481346054426695;-16.644848680797338;-16.154167908446382;20.0;150.0;0.929983150894093;76.11199897598182
5.115443066848571;-16.556950848019838;-16.087994355301912;20.0;150.0;0.9282809878235745;77.12774699701458
5.182751528254474;-16.470003996023188;-16.02265878539253;20.0;150.0;0.926600379952205;78.14221412683806
5.250059989660376;-16.38398264381149;-15.958138927684587;20.0;150.0;0.9249407544087477;79.15546667212674
5.317368451066279;-16.29906781695025;-15.894567106360684;20.0;150.0;0.9233055149294925;80.16511402034945
5.38467691247218;-16.21526016244915;-15.831939974817793;20.0;150.0;0.9216945754308487;81.17085891399003
5.451985373878083;-16.13235445522154;-15.770100769055688;20.0;150.0;0.9201039035180176;82.17490762256799
5.519293835283985;-16.05032945040646;-15.709030703094143;20.0;150.0;0.9185330159646823;83.177297219126
5.586602296689887;-15.969164566227471;-15.6487115962377;20.0;150.0;0.9169814451141084;84.17806477670686
5.6539107580957895;-15.888839856153535;-15.589125847505068;20.0;150.0;0.9154487382213546;85.17724736835332
5.721219219501692;-15.809335982514954;-15.53025641140018;20.0;150.0;0.9139344568300962;86.17488206710817
5.788527680907594;-15.730634191484361;-15.472086774941738;20.0;150.0;0.9124381761817041;87.17100594601412
5.855836142313496;-15.652716289338379;-15.414600935873215;20.0;150.0;0.9109594846547857;88.16565607811397
5.923144603719399;-15.575564619922293;-15.357783381981553;20.0;150.0;0.9094979832331991;89.15886953645045
5.990453065125301;-15.499162043245136;-15.301619071457488;20.0;150.0;0.9080532850008651;90.15068339406636
6.057761526531203;-15.423491915137872;-15.246093414235299;20.0;150.0;0.9066250146617519;91.14113472400442
6.125069987937105;-15.348538067911536;-15.191192254253624;20.0;150.0;0.9052128080836077;92.1302605993074
6.192378449343008;-15.27428479195729;-15.136901852583762;20.0;150.0;0.9038163118639665;93.11809809301809
6.2596869107489095;-15.200716818233634;-15.083208871374893;20.0;150.0;0.9024351829171762;94.10468427817919
6.326995372154812;-15.127819301589778;-15.030100358569102;20.0;150.0;0.9010690880812047;95.09005622783356
6.3943038335607145;-15.055577804878162;-14.977563733342821;20.0;150.0;0.8997177037431954;96.07425101502388
6.461612294966617;-14.983978283810961;-14.925586772232968;20.0;150.0;0.89838071548255;97.05730571279291
6.528920756372519;-14.913007072519799;-14.874157595910198;20.0;150.0;0.8970578177307447;98.03925739418344
6.596229217778421;-14.842650869779595;-14.823264656563149;20.0;150.0;0.895748713446775;99.0201431322382
6.663537679184323;-14.772896725859994;-14.772896725859994;20.0;150.0;0.8944531138075353;100.0
