LyoPRONTO Parameter Estimation Results
Generated: 2025-10-02 18:27:11

Estimated Parameters
R0 [cm²·hr·Torr/g],0.020892795981931313
A1 [cm·hr·Torr/g],7.843317809906947
A2 [1/cm],0.50813989753207

Standard Errors
σ(R0),0.041578275130411
σ(A1),0.47963956856463896
σ(A2),0.14421644158290062

Time [hr],Sublimation Temp [°C],Vial Bottom Temp [°C],Shelf Temp [°C],Chamber Pressure [mTorr],Sublimation Flux [kg/hr/m²],Fraction Dried
0.49,-33.841287896779384,-32.39407217,-6.200000000000003,150.0,0.6737825036684898,2.754527008015576
0.5,-33.79991484863385,-32.32502566,-5.600000000000001,150.0,0.6874400659406689,2.8639585801631133
0.51,-33.75933309322735,-32.25682423,-5.0,150.0,0.7011193659600173,2.975608328803822
0.52,-33.71952069489034,-32.1894492,-4.399999999999999,150.0,0.7148199232263274,3.089479784447674
0.53,-33.68045636756308,-32.12288251,-3.799999999999997,150.0,0.7285412731874691,3.2055763995647775
0.54,-33.64211941158721,-32.05710666,-3.1999999999999993,150.0,0.7422829656960289,3.32390155117557
0.55,-33.604489734899516,-31.99210473,-2.5999999999999943,150.0,0.7560445655237662,3.444458543190339
0.56,-33.56754780036707,-31.92786033,-2.0,150.0,0.7698256510754753,3.5672506088323024
0.57,-33.531274625868704,-31.8643576,-1.3999999999999986,150.0,0.7836258143889887,3.6922809128518
0.58,-33.49565172108469,-31.80158115,-0.8000000000000043,150.0,0.7974446595918057,3.8195525537404955
0.59,-33.4606610981243,-31.73951607,-0.20000000000000284,150.0,0.8112818031583343,3.9490685656948887
0.6,-33.42628523995648,-31.6781479,0.3999999999999986,150.0,0.8251368731381982,4.080831920621639
0.61,-33.39250710047728,-31.61746263,1.0,150.0,0.8390095091562394,4.214845530017533
0.62,-33.35931006239231,-31.55744666,1.6000000000000014,150.0,0.8528993613836094,4.35111224684946
0.63,-33.326677905652616,-31.49808677,2.200000000000003,150.0,0.8668060897660946,4.48963486726728
0.64,-33.29459486023186,-31.43937017,2.799999999999997,150.0,0.8807293653102427,4.63041613219136
0.65,-33.263045490209045,-31.38128439,3.3999999999999986,150.0,0.8946688672538645,4.773458729108989
0.66,-33.23201477816788,-31.32381736,4.0,150.0,0.9086242851238674,4.918765293411255
0.67,-33.20148803037189,-31.26695732,4.600000000000001,150.0,0.9225953164211822,5.066338410064132
0.68,-33.171450908445294,-31.21069285,5.200000000000003,150.0,0.9365816673924708,5.216180614903573
0.69,-33.14188942941491,-31.15501287,5.800000000000004,150.0,0.9505830530301169,5.368294396055934
0.7,-33.11278990252281,-31.09990658,6.399999999999999,150.0,0.9645991955288588,5.522682195358413
0.71,-33.084138939818935,-31.04536347,7.0,150.0,0.9786298245430176,5.679346409528789
0.72,-33.05592347727523,-30.99137334,7.599999999999994,150.0,0.9926746777009636,5.838289391376983
0.73,-33.02813071160711,-30.93792624,8.199999999999996,150.0,1.0067334990617398,5.999513451100139
0.74,-33.00074813192418,-30.8850125,8.799999999999997,150.0,1.0208060398867456,6.163020857327064
0.75,-32.973763488161694,-30.8326227,9.399999999999999,150.0,1.0348920578680552,6.328813838287979
0.76,-32.94716478058734,-30.78074766,10.0,150.0,1.048991316871206,6.496894582858964
0.77,-32.9209402598387,-30.72937844,10.600000000000001,150.0,1.0631035869351688,6.667265241564597
0.78,-32.89507842695451,-30.67850634,11.200000000000003,150.0,1.0772286442723764,6.839927927580621
0.79,-32.869568001814926,-30.62812287,11.800000000000004,150.0,1.091366270497028,7.014884717736582
0.8,-32.844397923178526,-30.57821975,12.400000000000006,150.0,1.1055162526250857,7.192137653393169
0.81,-32.81955734871404,-30.52878891,13.0,150.0,1.119678383074295,7.3716887413195185
0.82,-32.79503567607697,-30.47982251,13.600000000000001,150.0,1.1338524601786033,7.553539954570549
0.83,-32.77082243767601,-30.43131284,14.199999999999996,150.0,1.1480382856159301,7.737693233447832
0.84,-32.74690743753954,-30.38325245,14.799999999999997,150.0,1.162235667752091,7.924150486042696
0.85,-32.723280603985664,-30.33563401,15.399999999999999,150.0,1.1764444180396216,8.112913589322432
0.86,-32.69993208437423,-30.2884504,16.0,150.0,1.1906643533328358,8.303984389631626
0.87,-32.67685219250829,-30.24169466,16.6,150.0,1.2048952946016749,8.497364703569477
0.88,-32.65403141918154,-30.19536,17.200000000000003,150.0,1.2191370671889432,8.69305631865823
0.89,-32.631460400643235,-30.14943977,17.799999999999997,150.0,1.2333895000386275,8.891060994053401
0.9,-32.609129971214465,-30.10392751,18.4,150.0,1.24765242698202,9.091380461128642
0.91,-32.58703106864574,-30.05881686,19.0,150.0,1.261925684422694,9.294016424269515
0.92,-32.565154828798136,-30.01410165,19.6,150.0,1.2762091136515301,9.49897056129127
0.93,-32.533232493921986,-29.96977584,20.0,150.0,1.2853580174444612,9.706244524232604
0.94,-32.481114385532464,-29.9258335,20.0,150.0,1.2842277014069214,9.915004395341684
0.95,-32.42940889000432,-29.88226886,20.0,150.0,1.283107100836682,10.123580687535705
0.96,-32.378109876913896,-29.83907627,20.0,150.0,1.2819960704004345,10.33197497874056
0.97,-32.32721135617614,-29.79625021,20.0,150.0,1.2808944681088252,10.540188823278012
0.98,-32.276707456926275,-29.75378527,20.0,150.0,1.2798021548019949,10.748223752408789
0.99,-32.226592437936155,-29.71167616,20.0,150.0,1.2787189944068154,10.956081274792147
1.0,-32.176860698022786,-29.66991772,20.0,150.0,1.2776448541941037,11.163762876987187
1.01,-32.127506723427715,-29.62850487,20.0,150.0,1.276579603492494,11.371270023995953
1.02,-32.07852514026175,-29.58743266,20.0,150.0,1.275523114974581,11.578604159597665
1.03,-32.02991069340045,-29.54669625,20.0,150.0,1.2744752641424497,11.785766706891811
1.04,-31.98165821489649,-29.50629088,20.0,150.0,1.2734359285560017,11.992759068757707
1.05,-31.93376265541009,-29.4662119,20.0,150.0,1.2724049886046416,12.1995826281887
1.06,-31.8862190736244,-29.42645476,20.0,150.0,1.271382327250039,12.40623874875173
1.07,-31.839022636166003,-29.38701501,20.0,150.0,1.2703678300261403,12.612728775005099
1.08,-31.792168575544377,-29.34788826,20.0,150.0,1.2693613840102522,12.819054032916242
1.09,-31.745652263560117,-29.30907025,20.0,150.0,1.2683628796236308,13.025215830112389
1.1,-31.699469127261445,-29.27055677,20.0,150.0,1.2673722085736707,13.231215456423676
1.11,-31.653614701359984,-29.23234371,20.0,150.0,1.266389265140037,13.43705418409202
1.12,-31.608084617662055,-29.19442705,20.0,150.0,1.2654139459174378,13.642733268188904
1.13,-31.56287457352947,-29.15680283,20.0,150.0,1.2644461490439456,13.84825394699135
1.14,-31.517980373783256,-29.11946719,20.0,150.0,1.2634857752298996,14.053617442232625
1.15,-31.47339787819068,-29.08241632,20.0,150.0,1.2625327264717807,14.258824959519965
1.16,-31.42912304336709,-29.0456465,20.0,150.0,1.2615869070811092,14.463877688543484
1.17,-31.38515191222128,-29.00915409,20.0,150.0,1.2606482234272232,14.668776803452173
1.18,-31.34148056147473,-28.97293548,20.0,150.0,1.2597165826511423,14.873523463188112
1.19,-31.298105195976426,-28.93698718,20.0,150.0,1.2587918949806096,15.078118811611798
1.2,-31.255022064762283,-28.90130574,20.0,150.0,1.2578740716722798,15.282563978003477
1.21,-31.21222747150121,-28.86588776,20.0,150.0,1.2569630252689405,15.486860077230252
1.22,-31.169717816370277,-28.83072993,20.0,150.0,1.2560586706284254,15.691008209954967
1.23,-31.12748956455265,-28.795829,20.0,150.0,1.2551609241519264,15.895009463012205
1.24,-31.085539214760132,-28.76118175,20.0,150.0,1.2542697030123224,16.09886490965895
1.25,-31.043863362059856,-28.72678505,20.0,150.0,1.253384926697531,16.302575609699915
1.26,-31.002458655908868,-28.69263582,20.0,150.0,1.2525065159816087,16.50614260986355
1.27,-30.96132180011415,-28.65873103,20.0,150.0,1.2516343929247482,16.70956694401091
1.28,-30.920449552792753,-28.6250677,20.0,150.0,1.2507684808732715,16.91284963334455
1.29,-30.879838736803038,-28.59164291,20.0,150.0,1.249908704716872,17.115991686617416
1.3,-30.83948622922841,-28.55845379,20.0,150.0,1.249054990631371,17.3189941003835
1.31,-30.799388982275154,-28.52549754,20.0,150.0,1.2482072665931845,17.521857859206733
1.32,-30.759543949947215,-28.49277136,20.0,150.0,1.2473654605787232,17.72458393595342
1.33,-30.719948203170883,-28.46027256,20.0,150.0,1.2465295033939037,17.92717329179224
1.34,-30.680598804132607,-28.42799844,20.0,150.0,1.2456993255874074,18.1296268766538
1.35,-30.641492910921528,-28.39594639,20.0,150.0,1.244874860022964,18.331945629188855
1.36,-30.602627704223217,-28.36411382,20.0,150.0,1.2440560400787557,18.53413047714431
1.37,-30.564000429148553,-28.3324982,20.0,150.0,1.243242800676331,18.736182337446756
1.38,-30.525608353346133,-28.30109702,20.0,150.0,1.2424350772516868,18.938102116453152
1.39,-30.487448819281582,-28.26990784,20.0,150.0,1.2416328070414118,19.139890710034372
1.4,-30.449519191894257,-28.23892824,20.0,150.0,1.2408359277965504,19.34154900386765
1.41,-30.41181688995105,-28.20815585,20.0,150.0,1.2400443785542827,19.543077873520126
1.42,-30.374339375552406,-28.17758834,20.0,150.0,1.2392580993806963,19.744478184657737
1.43,-30.337084143646415,-28.14722341,20.0,150.0,1.2384770311135578,19.945750793212326
1.44,-30.300048742912107,-28.11705881,20.0,150.0,1.2377011158767723,20.146896545506973
1.45,-30.263230744364083,-28.08709231,20.0,150.0,1.2369302963086977,20.347916278464893
1.46,-30.22662778314107,-28.05732174,20.0,150.0,1.236164516591057,20.54881081969296
1.47,-30.190237495759973,-28.02774493,20.0,150.0,1.2354037209055673,20.749580987732404
1.48,-30.15405760370564,-27.99835979,20.0,150.0,1.2346478554917673,20.95022759205879
1.49,-30.118085819341182,-27.96916422,20.0,150.0,1.2338968663319716,21.150751433416247
1.5,-30.08231992948646,-27.94015619,20.0,150.0,1.2331507012090754,21.351153303775682
1.51,-30.04675771180165,-27.91133366,20.0,150.0,1.2324093076487523,21.551433986627227
1.52,-30.011397028792228,-27.88269467,20.0,150.0,1.2316726352344924,21.751594256938453
1.53,-29.976235744204082,-27.85423726,20.0,150.0,1.2309406335497892,21.95163488148861
1.54,-29.941271764789857,-27.82595951,20.0,150.0,1.2302132532070347,22.151556618868593
1.55,-29.906503019396677,-27.79785952,20.0,150.0,1.2294904453330873,22.351360219648083
1.56,-29.87192747982984,-27.76993543,20.0,150.0,1.228772162083704,22.551046426459077
1.57,-29.83754313994519,-27.7421854,20.0,150.0,1.228058356129099,22.75061597416302
1.58,-29.80334804694622,-27.71460764,20.0,150.0,1.2273489814256242,22.950069589934333
1.59,-29.7693402387278,-27.68720035,20.0,150.0,1.226643991672405,23.14940799346932
1.6,-29.73551781692895,-27.65996179,20.0,150.0,1.2259433421119226,23.34863189694439
1.61,-29.701878894717893,-27.63289023,20.0,150.0,1.2252469882438937,23.54774200526671
1.62,-29.668421617649336,-27.60598397,20.0,150.0,1.2245548863397118,23.746739016115974
1.63,-29.635144163641822,-27.57924134,20.0,150.0,1.22386699344245,23.945623620069764
1.64,-29.60204471166222,-27.55266067,20.0,150.0,1.2231832665951858,24.144396500728867
1.65,-29.569121514732377,-27.52624036,20.0,150.0,1.2225036646415866,24.343058334717252
1.66,-29.536372806021124,-27.49997879,20.0,150.0,1.2218281459108578,24.541609791974558
1.67,-29.503796861421215,-27.47387438,20.0,150.0,1.2211566697611242,24.740051535672496
1.68,-29.47139199952015,-27.44792559,20.0,150.0,1.2204891965794102,24.938384222381973
1.69,-29.439156529444453,-27.42213087,20.0,150.0,1.219825686495516,25.136608502240215
1.7,-29.407088802985452,-27.39648871,20.0,150.0,1.2191661006681518,25.334725018908973
1.71,-29.375187204147217,-27.37099763,20.0,150.0,1.218510401027708,25.532734409741625
1.72,-29.34345012828047,-27.34565616,20.0,150.0,1.2178585497618044,25.730637305908537
1.73,-29.31187598207395,-27.32046284,20.0,150.0,1.2172105093152783,25.928434332438815
1.74,-29.280463214804982,-27.29541625,20.0,150.0,1.2165662431618898,26.12612610826209
1.75,-29.249210287054915,-27.27051498,20.0,150.0,1.2159257150326164,26.323713246375625
1.76,-29.218115691535537,-27.24575765,20.0,150.0,1.2152888894301181,26.521196353886094
1.77,-29.187177932234476,-27.22114289,20.0,150.0,1.214655731114283,26.718576032134916
1.78,-29.156395513991534,-27.19666933,20.0,150.0,1.2140262048450008,26.915852876740033
1.79,-29.125767015395727,-27.17233567,20.0,150.0,1.2134002771827486,27.113027477595892
1.8,-29.095290984606756,-27.14814058,20.0,150.0,1.2127779139163257,27.310100419165916
1.81,-29.064966001844738,-27.12408276,20.0,150.0,1.2121590816062051,27.507072280357153
1.82,-29.034790679368495,-27.10016094,20.0,150.0,1.2115437475845487,27.70394363464561
1.83,-29.00476365104424,-27.07637387,20.0,150.0,1.210931879697971,27.900715050201587
1.84,-28.974883541105083,-27.05272029,20.0,150.0,1.2103234455358578,28.097387089973218
1.85,-28.94514902660065,-27.02919899,20.0,150.0,1.2097184139737285,28.293960311644728
1.86,-28.915558764518135,-27.00580874,20.0,150.0,1.2091167533726517,28.490435267845292
1.87,-28.886111464630428,-26.98254836,20.0,150.0,1.2085184333798324,28.68681250606547
1.88,-28.85680583744096,-26.95941667,20.0,150.0,1.2079234236424712,28.883092568866118
1.89,-28.82764061498821,-26.93641251,20.0,150.0,1.2073316943222259,29.079275993878394
1.9,-28.79861454042915,-26.91353473,20.0,150.0,1.2067432158379823,29.275363313887283
1.91,-28.76972637843194,-26.8907822,20.0,150.0,1.2061579591230773,29.47135505687338
1.92,-28.740974904761654,-26.8681538,20.0,150.0,1.205575895368078,29.66725174609648
1.93,-28.712358906272314,-26.84564842,20.0,150.0,1.2049969960207758,29.86305390013729
1.94,-28.68387721209108,-26.82326499,20.0,150.0,1.2044212335578715,30.058762032939292
1.95,-28.655528620816508,-26.80100241,20.0,150.0,1.2038485796843854,30.254376653975758
1.96,-28.62731200448881,-26.77885965,20.0,150.0,1.2032790079059266,30.4498982681245
1.97,-28.599226183813574,-26.75683563,20.0,150.0,1.202712490441971,30.645327375960253
1.98,-28.571270052909004,-26.73492934,20.0,150.0,1.2021490013125773,30.840664473545832
1.99,-28.54344248573183,-26.71313975,20.0,150.0,1.2015885140233622,31.03591005272453
2.0,-28.515742388043005,-26.69146586,20.0,150.0,1.2010310028516111,31.231064601036596
2.01,-28.488168655828247,-26.66990666,20.0,150.0,1.2004764418173894,31.42612860184456
